year,region,type,price
1996,Alabama,1bedroom,59300
1996,Alabama,2bedroom,48755.56
1996,Alabama,3bedroom,78777.78
1996,Alabama,4bedroom,146900
1996,Alabama,5BedroomOrMore,200800
1996,Alabama,BottomTier,44266.67
1996,Alabama,CondoCoop,97944.44
1996,Alabama,MiddleTier,79866.67
1996,Alabama,House,79377.78
1996,Alabama,TopTier,140755.56
1996,Arizona,1bedroom,59466.67
1996,Arizona,2bedroom,87511.11
1996,Arizona,3bedroom,97788.89
1996,Arizona,4bedroom,129255.56
1996,Arizona,5BedroomOrMore,189777.78
1996,Arizona,BottomTier,67811.11
1996,Arizona,CondoCoop,79744.44
1996,Arizona,MiddleTier,104633.33
1996,Arizona,House,108722.22
1996,Arizona,TopTier,169433.33
1996,Arkansas,1bedroom,53511.11
1996,Arkansas,2bedroom,55933.33
1996,Arkansas,3bedroom,77900
1996,Arkansas,4bedroom,133122.22
1996,Arkansas,5BedroomOrMore,189688.89
1996,Arkansas,BottomTier,38033.33
1996,Arkansas,CondoCoop,73366.67
1996,Arkansas,MiddleTier,64355.56
1996,Arkansas,House,64244.44
1996,Arkansas,TopTier,114088.89
1996,California,1bedroom,91744.44
1996,California,2bedroom,122811.11
1996,California,3bedroom,150388.89
1996,California,4bedroom,194577.78
1996,California,5BedroomOrMore,260600
1996,California,BottomTier,94433.33
1996,California,CondoCoop,134500
1996,California,MiddleTier,157322.22
1996,California,House,161266.67
1996,California,TopTier,270377.78
1996,Colorado,1bedroom,75800
1996,Colorado,2bedroom,98822.22
1996,Colorado,3bedroom,130222.22
1996,Colorado,4bedroom,178288.89
1996,Colorado,5BedroomOrMore,215077.78
1996,Colorado,BottomTier,82933.33
1996,Colorado,CondoCoop,100288.89
1996,Colorado,MiddleTier,129500
1996,Colorado,House,134988.89
1996,Colorado,TopTier,212633.33
1996,Connecticut,1bedroom,63066.67
1996,Connecticut,2bedroom,96788.89
1996,Connecticut,3bedroom,131622.22
1996,Connecticut,4bedroom,195811.11
